pkd_section;pkd_2025;pkd_name;year;revenue;net_profit;investments;firms;profitable_firms;profit_margin;profitable_share;bank_debt;total_liab;leverage_bank_to_rev;leverage_tot_to_rev;invest_intensity;cagr_revenue;cagr_net_profit;cagr_investments;cagr_firms;profit_margin_std_3y;size_index;growth_index;profit_index;risk_index;outlook_index;current_index;future_index;main_index;class
87;87;POMOC SPOŁECZNA Z ZAKWATEROWANIEM;2018;345.01;26.79;18.12;78.0;58.0;0.07764992319063216;0.7435897435897436;120.6;171.39999999999998;0.34955508535984464;0.4967971942842236;0.052520216805309994;0.6890385179011909;52.862745098039234;0.32327613479392214;0.11678316506545783;0.019301239964720128;0.18713223395910714;67.60681336876324;78.22158697440591;89.85821664575644;16.085695518791887;63.45199152631105;53.673787211872664;59.540709800535694;Gwiazdy wzrostu
03;03;RYBACTWO;2018;578.3;50.6;40.22;105.0;75.0;0.08749783849213212;0.7142857142857143;133.18;287.91999999999996;0.2302956942763272;0.49787307625799754;0.06954867715718485;2.5700082021893405;3.1267295403517856;1.6264130679873787;0.00970934508224186;0.037720387707414295;0.25465844121704184;54.23568155921647;79.09334040288549;84.63940775560435;41.102707619852715;58.7750095054502;58.10360984238733;58.50644964022506;Gwiazdy wzrostu
46;46;HANDEL HURTOWY, Z WYŁĄCZENIEM HANDLU POJAZDAMI SAMOCHODOWYMI;2018;2070497.18;51985.740000000005;23189.55;21812.0;19067.0;0.025107853563944484;0.8741518430221896;127355.51999999999;477276.36000000004;0.06150963219375164;0.2305129244368254;0.011199991105517951;0.055099872944471606;0.08498282228022558;0.07489738351974373;-0.02251206788696225;0.0012427305635854871;100.0;8.126251554855434;72.28122090632348;98.60480223542712;11.317436659728418;69.68330878592286;36.54629080097613;56.42850159194417;Gwiazdy wzrostu
02;02;LEŚNICTWO I POZYSKIWANIE DREWNA;2018;22026.56;1159.36;54.2;988.0;954.0;0.05263463745587145;0.9655870445344129;123.75999999999999;3263.4500000000003;0.005618671276858483;0.1481597671175163;0.0024606656690831434;2.178608695382132;1.9768239032291168;0.2958115689844314;0.8914782987978884;0.015126126375875314;2.796723117259272;46.437101682257754;83.38521144432914;94.83814558622106;15.558443656224648;61.4663665809649;48.60595164303351;56.32220060579235;Gwiazdy wzrostu
88;88;POMOC SPOŁECZNA BEZ ZAKWATEROWANIA;2018;918.6;39.9;2.3600000000000003;120.0;74.0;0.0434356629653821;0.6166666666666667;10.53;87.72;0.011463096015676027;0.09549314173742651;0.002569126932288265;0.5439494839738859;0.6816552919142216;2.089873302932822;0.12624788044360602;0.015077670450888415;0.29726101653548925;17.094017457937483;63.75623425020161;95.05416212063598;50.0;48.788263766532665;53.64445387357203;50.730739809348414;Trudna teraźniejszość, dobra przyszłość
47;47;HANDEL DETALICZNY, Z WYŁĄCZENIEM HANDLU DETALICZNEGO POJAZDAMI SAMOCHODOWYMI;2018;848179.79;26962.739999999998;21129.03;14702.0;10103.0;0.03178894418128024;0.6871854169500748;49986.16;195336.88;0.058933448532179716;0.23030126666894526;0.024911027413185592;0.001184507592297157;0.25123699415190837;0.03090119876294617;-0.038194896087965224;0.004701416967477302;54.18414710649626;7.350724016604326;64.51835265905456;97.50712297860807;10.472818524499866;58.05623548379639;35.646481508363664;49.092333893623305;Gwiazdy wzrostu
10;10;PRODUKCJA ARTYKUŁÓW SPOŻYWCZYCH;2018;643860.56;22816.36;23742.06;6238.0;5340.0;0.03543680327305651;0.8560436037191408;72835.94;166965.05;0.11312377947175394;0.25931864812468086;0.03687453693389761;0.05333388026034469;0.052904115612870006;0.013200738006121648;-0.04384086989443947;0.0027076612150392773;29.847921139250325;8.066321404992461;73.82691547796448;97.69261566133585;10.133013374581601;55.750678146990055;35.78088646973113;47.76276147608648;Gwiazdy wzrostu
45;46;"HANDEL HURTOWY I DETALICZNY POJAZDAMI SAMOCHODOWYMI; NAPRAWA POJAZDÓW SAMOCHODOWYCH";2018;487879.86000000004;9623.92;7163.36;3670.0;3164.0;0.01972600385676916;0.862125340599455;37459.4;114893.12;0.07677996792079099;0.23549469740357798;0.014682631088727456;0.16048600551660686;0.17443468227520498;0.10653472796857955;-0.032148962059984965;0.00018143343724680755;20.19450820185226;10.023471234826943;70.402758479962;98.83226824404089;11.924795570953798;53.795139542279955;37.42664007204186;47.24773975418472;Gwiazdy wzrostu
23;23;PRODUKCJA WYROBÓW Z POZOSTAŁYCH MINERALNYCH SUROWCÓW NIEMETALICZNYCH;2018;168103.87;12285.14;13926.93;2096.0;1758.0;0.07308064948177576;0.8387404580152672;27996.440000000002;61670.84;0.16654250732002782;0.3668615124684518;0.08284717062135452;0.08763516039627017;0.12339720355743267;0.13432485015979223;-0.038228292185963575;0.0004587157273083601;8.864199588773616;8.72190594984726;81.89481335430773;97.61359328993262;12.458297312358527;53.711097730773254;36.883968696877375;46.980246117214904;Gwiazdy wzrostu
25;25;PRODUKCJA METALOWYCH WYROBÓW GOTOWYCH, Z WYŁĄCZENIEM MASZYN I URZĄDZEŃ;2018;273721.39;14003.42;14045.52;7120.0;5897.0;0.051159392402617854;0.8282303370786517;33388.009999999995;100150.61;0.12197808143528714;0.36588521635083027;0.051313198431441547;0.07515911012877896;-0.01021583131031567;0.05255722309401967;-0.012686166149098344;0.006878769963970369;22.931331187162524;8.384105912517942;76.16729374030348;95.81868261749187;10.888560730058938;54.46972093588542;35.61626085102652;46.92833690194186;Gwiazdy wzrostu
