"pkd_section","pkd_2025","pkd_name","year","revenue","net_profit","investments","firms","profitable_firms","profit_margin","profitable_share","bank_debt","total_liab","leverage_bank_to_rev","leverage_tot_to_rev","invest_intensity","cagr_revenue","cagr_net_profit","cagr_investments","cagr_firms","profit_margin_std_3y","size_index","growth_index","profit_index","risk_index","outlook_index","current_index","future_index","main_index","class","revenue_parameter","firms_parameter","growth_parameter","cagr_revenue_parameter","cagr_net_profit_parameter","profit_margin_parameter","profitable_share_parameter","leverage_bank_to_rev_parameter","leverage_tot_to_rev_parameter","profit_margin_std_3y_parameter","invest_intensity_parameter","cagr_investments_parameter","size_index_parameter","growth_index_parameter","profit_index_parameter","risk_index_parameter","growth_index_parameter2","profit_index_parameter2","risk_index_parameter2","future_growth_index_parameter","outlook_index_parameter","future_risk_index_parameter","current_index_parameter","future_index_parameter"
91,91,"DZIAŁALNOŚĆ BIBLIOTEK, ARCHIWÓW, MUZEÓW ORAZ POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ",2018,1525.08,116.4,175.37,111,90,0.0763238649775749,0.810810810810811,545.86,906.51,0.357922207359614,0.594401605161696,"0.11499068901303539",0.182212117524317,0.245397389323247,0.291177239683651,0.0845957759913274,0.015476719149618,0.29127592882117,10.4629241898187,81.2679607169376,90.6030074565148,15.4694759742836,50.1718786494077,36.5075698836135,44.7061551430901,"Gwiazdy wzrostu",,,,,,,,,,,,,,,,,,,,,,,,
66,66,"DZIAŁALNOŚĆ WSPOMAGAJĄCA USŁUGI FINANSOWE ORAZ UBEZPIECZENIA I FUNDUSZE EMERYTALNE",2018,75617.81,3016.91,727.78,1076,870,0.0398968179586264,0.808550185873606,5458.44,15639.01,0.0721845819126473,0.206816489395818,"0.009624452228912738",0.00644633530050331,0.116650286417878,0.212032085931269,0.00093109923435275,0.00648033209286235,4.29261073980177,7.3175015589872,72.5106262660972,96.9592138792951,13.9500844055776,49.90331826802,36.8630483937157,44.6872103182983,"Gwiazdy wzrostu",,,,,,,,,,,,,,,,,,,,,,,,
8,8,"POZOSTAŁE GÓRNICTWO I WYDOBYWANIE",2018,21308.98,2206.26,1646.48,573,490,0.103536631035366,0.855148342059337,2083.27,6439.83,0.0977648859776489,0.302212025164977,"0.07726695505838384",0.0711236523609768,0.332930533619833,-0.0176534696580979,-0.0488986511313514,0.025337884329561,1.82808322424263,8.63035335394361,89.9425498878046,90.3033255942973,9.54068875631385,52.0998401335748,33.4963791869978,44.658455754944,"Stabilne, ale bez dynamiki",,,,,,,,,,,,,,,,,,,,,,,,
43,43,"ROBOTY BUDOWLANE SPECJALISTYCZNE",2018,101231.5,5777.88,1787.81,5001,4450,0.057075910166302,0.889822035592881,6685.01,30162.62,0.0660368561169201,0.297956861253661,"0.01766060959286388",0.0239947185819374,0.10149969601737,-0.12242813626669,-0.035339345511318,0.0205384610010673,13.9084912542591,7.60577093713197,80.6508951220954,92.0598463382289,7.52927381160163,52.4638186671274,32.9113947072489,44.642849083176,"Stabilne, ale bez dynamiki",,,,,,,,,,,,,,,,,,,,,,,,
29,29,"PRODUKCJA POJAZDÓW SAMOCHODOWYCH, PRZYCZEP I NACZEP, Z WYŁĄCZENIEM MOTOCYKLI",2018,414863.19,13453.73,19791.66,1231,929,0.0324293172407029,0.754670999187652,36919.87,129925.14,0.0889928797973134,0.313175868893068,"0.04770647403063164",0.0673464110081192,-0.0484574879519022,0.0209011393053926,0.0124908830290467,0.00631275213126568,12.8402849227058,8.21437138750469,68.0445951976265,96.435871108508,10.2808420697708,50.5635599633764,35.5074095767121,44.5410998087107,"Gwiazdy wzrostu",,,,,,,,,,,,,,,,,,,,,,,,
58,58,"DZIAŁALNOŚĆ WYDAWNICZA",2018,26545.53,2504.53,473.56,921,646,0.0943484646944326,0.701411509229099,1910.61,6908.42,0.0719748296605869,0.260247958884226,"0.017839538332819125",-0.0308523981366498,0.0122190270175171,-0.000745010115528855,-0.0344057620720205,0.009101735971442,2.75226558885513,6.57906824505177,80.0753147683827,95.8769417180849,9.86528943810878,50.9771313865551,34.6829187641845,44.4594463376069,"Stabilne, ale bez dynamiki",,,,,,,,,,,,,,,,,,,,,,,,
86,86,"OPIEKA ZDROWOTNA",2018,63204.77,1255.11,3671.85,3949,3160,0.0198578366790988,0.800202582932388,11456.05,23133.28,0.181252933916222,0.366005287259174,"0.05809450774047592",0.065837601286207,-0.0989455585213382,0.0646169463051274,-0.0131518510823814,0.00217982646305696,10.5786751700348,8.1419310492817,67.3379051223036,96.9742459165603,11.1200776442242,50.0779678518714,35.9828841474423,44.4399343700997,"Gwiazdy wzrostu",,,,,,,,,,,,,,,,,,,,,,,,
32,32,"POZOSTAŁA PRODUKCJA WYROBÓW",2018,27836.49,1454.68,1396.62,727,545,0.0522580253473049,0.749656121045392,4626.6,9531.85,0.166206299716667,0.342422841385534,"0.05017227387504675",0.0874624737724334,0.036499999190748,0.0912280462832364,-0.00499327430671526,0.00321965879943271,2.3387313754874,8.63897404108453,72.4992935111669,96.8355768688931,11.6309450697552,49.8029862238283,36.2947433008954,44.3996890546551,"Gwiazdy wzrostu",,,,,,,,,,,,,,,,,,,,,,,,
27,27,"PRODUKCJA URZĄDZEŃ ELEKTRYCZNYCH",2018,189963.81,5466.11,8028.4,1318,1049,0.0287744807813657,0.795902883156297,15605.63,67896.15,0.082150542253285,0.357416236282058,"0.04226278679081032",0.0527834207067646,-0.105494310829295,0.108955488175602,0.00614454742326887,0.00467133121874965,7.6086687028441,7.91109221390476,69.2388801546855,96.8079502047613,11.9712681908683,49.8516118941448,36.2042200019471,44.3926551372657,"Gwiazdy wzrostu",,,,,,,,,,,,,,,,,,,,,,,,
80,80,"DZIAŁALNOŚĆ DETEKTYWISTYCZNA I OCHRONIARSKA",2018,20806.48,507.4,226.6,858,700,0.0243866333949808,0.815850815850816,644.02,4485.71,0.0309528569945517,0.21559196942491,"0.010890837854360756",0.111272412452745,1.18179993980134,-0.0362582842014104,-0.017981438280545,0.00589219719028596,2.46925856218444,10.102859129293,69.1950207358814,97.3581530028286,9.18352224624691,49.5257675795791,35.9117125381353,44.0801455630016,"Gwiazdy wzrostu",,,,,,,,,,,,,,,,,,,,,,,,
